model,condition,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_ontology_features,runs,full_macro_f1_mean,bsl_macro_f1_mean,delta_vs_full37,delta_vs_bsl
LR,BSL,0.5772827871778397,0.0,0.631578947368421,0.0,0,3,0.5756565091261056,0.5772827871778397,0.001626278051734098,0.0
LR,ENR_full_37,0.5756565091261056,0.0,0.6222910216718266,0.0,37,3,0.5756565091261056,0.5772827871778397,0.0,-0.001626278051734098
LR,ENR_selected,0.5784606306710742,0.0,0.631578947368421,0.0,7,3,0.5756565091261056,0.5772827871778397,0.002804121544968674,0.001177843493234576
LR,drop_ai,0.579918001129131,0.0,0.628482972136223,0.0,34,3,0.5756565091261056,0.5772827871778397,0.004261492003025502,0.002635213951291404
LR,drop_algorithm,0.5720854366051614,0.0,0.6222910216718266,0.0,34,3,0.5756565091261056,0.5772827871778397,-0.0035710725209441296,-0.005197350572678228
LR,drop_automation,0.5814172046153273,0.0,0.6253869969040248,0.0,34,3,0.5756565091261056,0.5772827871778397,0.0057606954892217566,0.0041344174374876586
LR,drop_data,0.5764347862640159,0.0,0.6222910216718266,0.0,34,3,0.5756565091261056,0.5772827871778397,0.0007782771379103437,-0.0008480009138237543
LR,drop_ethics,0.5717422876856716,0.0,0.6222910216718266,0.0,34,3,0.5756565091261056,0.5772827871778397,-0.003914221440433963,-0.005540499492168061
LR,drop_future,0.5769875095832231,0.0,0.6253869969040248,0.0,34,3,0.5756565091261056,0.5772827871778397,0.0013310004571175371,-0.0002952775946165609
LR,drop_global_counts,0.5914749340698825,0.0,0.6346749226006192,0.0,30,3,0.5756565091261056,0.5772827871778397,0.015818424943776943,0.014192146892042845
LR,drop_innovation,0.5797910830999067,0.0,0.628482972136223,0.0,34,3,0.5756565091261056,0.5772827871778397,0.004134573973801126,0.0025082959220670276
LR,drop_ml,0.5748650992000949,0.0,0.6222910216718266,0.0,34,3,0.5756565091261056,0.5772827871778397,-0.0007914099260106777,-0.0024176879777447757
LR,drop_robot,0.568995943314489,0.0,0.6191950464396285,0.0,34,3,0.5756565091261056,0.5772827871778397,-0.006660565811616559,-0.008286843863350657
LR,drop_technology,0.5777729112425076,0.0,0.6253869969040248,0.0,34,3,0.5756565091261056,0.5772827871778397,0.002116402116402072,0.0004901240646679739
RF,BSL,0.5947063719282877,0.00707925870187092,0.6398348813209495,0.006444786376056182,0,3,0.5816309617042003,0.5947063719282877,0.013075410224087425,0.0
RF,ENR_full_37,0.5816309617042003,0.01106954369207096,0.6150670794633643,0.006444786376056159,37,3,0.5816309617042003,0.5947063719282877,0.0,-0.013075410224087425
RF,ENR_selected,0.5982606724372853,0.003579289285683066,0.6377708978328173,0.008191180529611751,7,3,0.5816309617042003,0.5947063719282877,0.016629710733085057,0.003554300508997632
RF,drop_ai,0.5906844438458746,0.01031999281561607,0.6357069143446853,0.0035749242674280564,34,3,0.5816309617042003,0.5947063719282877,0.00905348214167434,-0.004021928082413084
RF,drop_algorithm,0.5867434870893146,0.030993213310239756,0.6191950464396285,0.021671826625386942,34,3,0.5816309617042003,0.5947063719282877,0.005112525385114308,-0.007962884838973117
RF,drop_automation,0.5937554391017156,0.01837404532047638,0.6253869969040248,0.010724772802284057,34,3,0.5816309617042003,0.5947063719282877,0.01212447739751532,-0.000950932826572104
RF,drop_data,0.5878773655752199,0.01767881536436364,0.6233230134158927,0.011721173056347251,34,3,0.5816309617042003,0.5947063719282877,0.006246403871019601,-0.0068290063530678236
RF,drop_ethics,0.5855708418061779,0.01800519083211083,0.6202270381836946,0.011721173056347333,34,3,0.5816309617042003,0.5947063719282877,0.003939880101977655,-0.00913553012210977
RF,drop_future,0.588204638147109,0.010233062844871863,0.6222910216718266,0.006191950464396245,34,3,0.5816309617042003,0.5947063719282877,0.006573676442908738,-0.006501733781178687
RF,drop_global_counts,0.5941486981497553,0.00657180619184013,0.630546955624355,0.003574924267428017,30,3,0.5816309617042003,0.5947063719282877,0.012517736445555094,-0.0005576737785323305
RF,drop_innovation,0.574973790721903,0.005464536668853868,0.6140350877192983,0.0017874621337140404,34,3,0.5816309617042003,0.5947063719282877,-0.006657170982297234,-0.01973258120638466
RF,drop_ml,0.5932645771976804,0.02484496660149511,0.6253869969040248,0.017237660566037198,34,3,0.5816309617042003,0.5947063719282877,0.011633615493480187,-0.0014417947306072376
RF,drop_robot,0.5691889456897808,0.015053994621309267,0.6150670794633643,0.01288957275211228,34,3,0.5816309617042003,0.5947063719282877,-0.01244201601441941,-0.025517426238506835
RF,drop_technology,0.5753084971425646,0.00800142832766225,0.6171310629514964,0.0017874621337140404,34,3,0.5816309617042003,0.5947063719282877,-0.0063224645616356545,-0.01939787478572308
XGB,BSL,0.5285137220048312,0.012204002420451625,0.6212590299277606,0.006444786376056182,0,3,0.54978573389274,0.5285137220048312,-0.021272011887908837,0.0
XGB,ENR_full_37,0.54978573389274,0.018965882526833577,0.6418988648090815,0.011721173056347282,37,3,0.54978573389274,0.5285137220048312,0.0,0.021272011887908837
XGB,ENR_selected,0.5485714482698644,0.0040172973084851345,0.6418988648090815,0.0017874621337140163,7,3,0.54978573389274,0.5285137220048312,-0.0012142856228756216,0.020057726265033216
XGB,drop_ai,0.54128203787594,0.004143836237952288,0.6357069143446852,0.004729180283752133,34,3,0.54978573389274,0.5285137220048312,-0.00850369601680001,0.012768315871108826
XGB,drop_algorithm,0.5338801126211565,0.017072843404780873,0.628482972136223,0.014187540851256425,34,3,0.54978573389274,0.5285137220048312,-0.01590562127158346,0.005366390616325378
XGB,drop_automation,0.5458812241746539,0.0038852315685408427,0.6418988648090815,0.003574924267428017,34,3,0.54978573389274,0.5285137220048312,-0.003904509718086091,0.017367502169822746
