model,condition,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_ontology_features,runs,full_macro_f1_mean,bsl_macro_f1_mean,delta_vs_full37,delta_vs_bsl,module,estimated_module_contribution
LR,drop_robot,0.568995943314489,0.0,0.6191950464396285,0.0,34,3,0.5756565091261056,0.5772827871778397,-0.006660565811616559,-0.008286843863350657,robot,0.006660565811616559
LR,drop_ethics,0.5717422876856716,0.0,0.6222910216718266,0.0,34,3,0.5756565091261056,0.5772827871778397,-0.003914221440433963,-0.005540499492168061,ethics,0.003914221440433963
LR,drop_algorithm,0.5720854366051614,0.0,0.6222910216718266,0.0,34,3,0.5756565091261056,0.5772827871778397,-0.0035710725209441296,-0.005197350572678228,algorithm,0.0035710725209441296
LR,drop_ml,0.5748650992000949,0.0,0.6222910216718266,0.0,34,3,0.5756565091261056,0.5772827871778397,-0.0007914099260106777,-0.0024176879777447757,ml,0.0007914099260106777
LR,drop_data,0.5764347862640159,0.0,0.6222910216718266,0.0,34,3,0.5756565091261056,0.5772827871778397,0.0007782771379103437,-0.0008480009138237543,data,-0.0007782771379103437
LR,drop_future,0.5769875095832231,0.0,0.6253869969040248,0.0,34,3,0.5756565091261056,0.5772827871778397,0.0013310004571175371,-0.0002952775946165609,future,-0.0013310004571175371
LR,drop_technology,0.5777729112425076,0.0,0.6253869969040248,0.0,34,3,0.5756565091261056,0.5772827871778397,0.002116402116402072,0.0004901240646679739,technology,-0.002116402116402072
LR,drop_innovation,0.5797910830999067,0.0,0.628482972136223,0.0,34,3,0.5756565091261056,0.5772827871778397,0.004134573973801126,0.0025082959220670276,innovation,-0.004134573973801126
LR,drop_ai,0.579918001129131,0.0,0.628482972136223,0.0,34,3,0.5756565091261056,0.5772827871778397,0.004261492003025502,0.002635213951291404,ai,-0.004261492003025502
LR,drop_automation,0.5814172046153273,0.0,0.6253869969040248,0.0,34,3,0.5756565091261056,0.5772827871778397,0.0057606954892217566,0.0041344174374876586,automation,-0.0057606954892217566
LR,drop_global_counts,0.5914749340698825,0.0,0.6346749226006192,0.0,30,3,0.5756565091261056,0.5772827871778397,0.015818424943776943,0.014192146892042845,global_counts,-0.015818424943776943
