post_id,split,ont_domain_density,ont_InteligenciaArtificial_Negativo,ont_total_negativo_mentions,ont_Innovacion_Neutro,ont_Etica_Negativo,ont_InteligenciaArtificial_Neutro,ont_Tecnologia_Positivo
1mug8n6,train,-0.39878684145662124,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n111of,train,-0.5276420206635636,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.9298850547138652,-0.12708214194383724
1n07dr6,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n07zib,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1mwq1az,train,-0.14966682832319925,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1mxx49c,train,0.3485731979436447,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mpccws,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n0zrz4,train,0.04962918218353839,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n0xrbd,train,0.3485731979436447,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1mwze3i,train,-1.0627206439005783,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1mztu7g,train,2.8397733292778646,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1my0vmx,train,0.23359473034360395,-0.15752691434234717,-0.17953962480540778,5.59206888620715,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n1sp4y,train,0.3485731979436447,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1mwdpoy,train,1.245405245223964,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n0joca,train,0.4844568414709659,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1munjuu,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1my13or,train,-0.20211314687760387,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1my86as,train,0.4844568414709659,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mue9yv,train,0.1350417581149973,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n2vnfd,train,0.1350417581149973,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n35fvl,train,0.3485731979436447,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n1n0xg,train,2.8397733292778646,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n1e17v,train,-0.48182684583442853,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mx9c6w,train,1.4162303970868817,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n3gogj,train,1.0959332373439108,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mslmsu,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1my67y2,train,-0.025106821756488196,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n39yai,train,-0.6977308572167276,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n044bl,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n33b7m,train,0.8468132242104887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n1r9xa,train,1.613336341544095,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n0ujim,train,-0.8521035866666185,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n1lz4s,train,0.8468132242104887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n1dz6v,train,0.23359473034360395,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1myzfk0,train,-1.146146880856887,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1msqibm,train,-0.39878684145662124,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mzusfx,train,1.0959332373439108,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.9298850547138652,-0.12708214194383724
1mw60e1,train,0.6475172137037513,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1mzgln9,train,0.4844568414709659,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,6.023693528137884
1n3ebr1,train,-1.0171062985143953,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1mwpx1i,train,0.3485731979436447,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
1n1m7ek,train,0.3485731979436447,-0.15752691434234717,-0.17953962480540778,-0.16657226469553213,-0.07205628352785283,0.1797777772446806,-0.12708214194383724
1n0jkq7,train,1.8432932767441765,4.761378023831591,3.598598566751869,-0.16657226469553213,-0.07205628352785283,-0.570329500224504,-0.12708214194383724
