run_id,model,condition,seed,split,profile,rows,columns,dtype,ordered_post_ids_sha256,ordered_features_sha256,matrix_sha256,release_dataset_sha256,source_dataset_sha256,metric_dataset_match,metric_feature_order_match,test_prediction_order_match,runtime_hash_available,runtime_hash_match,evidence_scope,metric_path
LR_ENR_seed123,LR,ENR,123,test,train_standardized_float64,323,7,float64,359d5f85b3b8c5eeacf179a9b91c8d4ed63dfda568712a6ed4c50ef3bf62f009,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,1037dd9feaeae6b890e9040dee42809013f80943866ce6ab0d84b5c01d9de1cc,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/LR_ENR_seed123_test_metrics_v2.json
LR_ENR_seed2024,LR,ENR,2024,train,train_standardized_float64,968,7,float64,d42ac8c75364349ab2bd40038940caf56eb506b786e420054190294a27f45476,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,9c261f4d01a2f073136686e4a3a35e226e0fe9c158c0943d4d20b284ebeb92bc,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/LR_ENR_seed2024_test_metrics_v2.json
LR_ENR_seed2024,LR,ENR,2024,test,train_standardized_float64,323,7,float64,359d5f85b3b8c5eeacf179a9b91c8d4ed63dfda568712a6ed4c50ef3bf62f009,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,1037dd9feaeae6b890e9040dee42809013f80943866ce6ab0d84b5c01d9de1cc,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/LR_ENR_seed2024_test_metrics_v2.json
LR_ENR_seed42,LR,ENR,42,train,train_standardized_float64,968,7,float64,d42ac8c75364349ab2bd40038940caf56eb506b786e420054190294a27f45476,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,9c261f4d01a2f073136686e4a3a35e226e0fe9c158c0943d4d20b284ebeb92bc,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/LR_ENR_seed42_test_metrics_v2.json
LR_ENR_seed42,LR,ENR,42,test,train_standardized_float64,323,7,float64,359d5f85b3b8c5eeacf179a9b91c8d4ed63dfda568712a6ed4c50ef3bf62f009,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,1037dd9feaeae6b890e9040dee42809013f80943866ce6ab0d84b5c01d9de1cc,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/LR_ENR_seed42_test_metrics_v2.json
RF_ENR_seed123,RF,ENR,123,train,raw_float64,968,7,float64,d42ac8c75364349ab2bd40038940caf56eb506b786e420054190294a27f45476,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,7ec14f7236be5effe9864312601e0053a6f7d387658cc7943581ea2ab7296e75,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/RF_ENR_seed123_test_metrics_v2.json
RF_ENR_seed123,RF,ENR,123,test,raw_float64,323,7,float64,359d5f85b3b8c5eeacf179a9b91c8d4ed63dfda568712a6ed4c50ef3bf62f009,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,6bbdae170b9d9f3c752c4cf8a999ffd34a1332b0a478e954a3eb5dac806bd2e6,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/RF_ENR_seed123_test_metrics_v2.json
RF_ENR_seed2024,RF,ENR,2024,train,raw_float64,968,7,float64,d42ac8c75364349ab2bd40038940caf56eb506b786e420054190294a27f45476,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,7ec14f7236be5effe9864312601e0053a6f7d387658cc7943581ea2ab7296e75,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/RF_ENR_seed2024_test_metrics_v2.json
RF_ENR_seed2024,RF,ENR,2024,test,raw_float64,323,7,float64,359d5f85b3b8c5eeacf179a9b91c8d4ed63dfda568712a6ed4c50ef3bf62f009,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,6bbdae170b9d9f3c752c4cf8a999ffd34a1332b0a478e954a3eb5dac806bd2e6,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/RF_ENR_seed2024_test_metrics_v2.json
RF_ENR_seed42,RF,ENR,42,train,raw_float64,968,7,float64,d42ac8c75364349ab2bd40038940caf56eb506b786e420054190294a27f45476,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,7ec14f7236be5effe9864312601e0053a6f7d387658cc7943581ea2ab7296e75,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/RF_ENR_seed42_test_metrics_v2.json
RF_ENR_seed42,RF,ENR,42,test,raw_float64,323,7,float64,359d5f85b3b8c5eeacf179a9b91c8d4ed63dfda568712a6ed4c50ef3bf62f009,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,6bbdae170b9d9f3c752c4cf8a999ffd34a1332b0a478e954a3eb5dac806bd2e6,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/RF_ENR_seed42_test_metrics_v2.json
XGB_ENR_seed123,XGB,ENR,123,train,raw_float64,968,7,float64,d42ac8c75364349ab2bd40038940caf56eb506b786e420054190294a27f45476,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,7ec14f7236be5effe9864312601e0053a6f7d387658cc7943581ea2ab7296e75,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/XGB_ENR_seed123_test_metrics_v2.json
XGB_ENR_seed123,XGB,ENR,123,test,raw_float64,323,7,float64,359d5f85b3b8c5eeacf179a9b91c8d4ed63dfda568712a6ed4c50ef3bf62f009,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,6bbdae170b9d9f3c752c4cf8a999ffd34a1332b0a478e954a3eb5dac806bd2e6,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/XGB_ENR_seed123_test_metrics_v2.json
XGB_ENR_seed2024,XGB,ENR,2024,train,raw_float64,968,7,float64,d42ac8c75364349ab2bd40038940caf56eb506b786e420054190294a27f45476,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,7ec14f7236be5effe9864312601e0053a6f7d387658cc7943581ea2ab7296e75,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/XGB_ENR_seed2024_test_metrics_v2.json
XGB_ENR_seed2024,XGB,ENR,2024,test,raw_float64,323,7,float64,359d5f85b3b8c5eeacf179a9b91c8d4ed63dfda568712a6ed4c50ef3bf62f009,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,6bbdae170b9d9f3c752c4cf8a999ffd34a1332b0a478e954a3eb5dac806bd2e6,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/XGB_ENR_seed2024_test_metrics_v2.json
XGB_ENR_seed42,XGB,ENR,42,train,raw_float64,968,7,float64,d42ac8c75364349ab2bd40038940caf56eb506b786e420054190294a27f45476,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,7ec14f7236be5effe9864312601e0053a6f7d387658cc7943581ea2ab7296e75,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/XGB_ENR_seed42_test_metrics_v2.json
XGB_ENR_seed42,XGB,ENR,42,test,raw_float64,323,7,float64,359d5f85b3b8c5eeacf179a9b91c8d4ed63dfda568712a6ed4c50ef3bf62f009,95680f916a7802a3221e04fee777df9e2dcfa6125d12e7c3064d0ce282f0da51,6bbdae170b9d9f3c752c4cf8a999ffd34a1332b0a478e954a3eb5dac806bd2e6,62c6394d4ef68191b713d80c9b54849ecf00176822719bf515b8f0ee65b31162,a74cebfa0db51e9d6e34a8b58b16f149db690d2d5bca0cd5d5945a9c2cc0e99f,True,True,True,True,True,runtime_captured,results/anova_revalidation/metrics/XGB_ENR_seed42_test_metrics_v2.json
