model,condition,macro_f1_mean,macro_f1_std,accuracy_mean,seeds
CNN1D,BSL,0.507576121959619,0.017838522058042077,0.6068111455108359,3
CNN1D,ENR,0.5274615400076913,0.007246681507915945,0.6150670794633643,3
LR,BSL,0.5772827871778397,0.0,0.631578947368421,3
LR,ENR,0.5863106205086561,0.0,0.6408668730650154,3
RF,BSL,0.5947063719282877,0.00707925870187092,0.6398348813209495,3
RF,ENR,0.5990478168806628,0.0035674608570846933,0.6418988648090815,3
XGB,BSL,0.5285137220048312,0.012204002420451625,0.6212590299277606,3
XGB,ENR,0.551040583853816,0.02104386855888357,0.6429308565531476,3
