model,condition,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_ontology_features,runs,runtime_seconds_mean,full_macro_f1_mean,bsl_macro_f1_mean,delta_vs_full37,delta_vs_bsl,module,estimated_module_contribution
CNN1D,drop_technology,0.4880222465295471,0.039652306268928475,0.5851393188854489,0.023374100418794938,34,3,450.8695,0.531395783901201,0.507576121959619,-0.04337353737165389,-0.019553875430071865,technology,0.04337353737165389
CNN1D,drop_global_counts,0.4882315713269203,0.0325165057940817,0.5923632610939112,0.02344234611269467,30,3,380.9046,0.531395783901201,0.507576121959619,-0.043164212574280714,-0.019344550632698687,global_counts,0.043164212574280714
CNN1D,drop_automation,0.48910983238105327,0.03320045995540834,0.5933952528379773,0.0170513020039818,34,3,940.3770666666666,0.531395783901201,0.507576121959619,-0.042285951520147746,-0.01846628957856572,automation,0.042285951520147746
CNN1D,drop_future,0.4932373293545391,0.05524961056099113,0.5985552115583076,0.025215256393953844,34,3,363.6054,0.531395783901201,0.507576121959619,-0.03815845454666189,-0.014338792605079864,future,0.03815845454666189
CNN1D,drop_ethics,0.4951780150787161,0.019324353739357404,0.5954592363261094,0.00893731066857013,34,3,477.3972333333333,0.531395783901201,0.507576121959619,-0.0362177688224849,-0.01239810688090287,ethics,0.0362177688224849
CNN1D,drop_ai,0.49642001403059344,0.02890971099175042,0.5810113519091847,0.030069767356725428,34,3,404.9050333333333,0.531395783901201,0.507576121959619,-0.034975769870607576,-0.01115610792902555,ai,0.034975769870607576
CNN1D,drop_ml,0.4968583392396169,0.017490533779464402,0.5902992776057792,0.01527208316506583,34,3,527.1573666666667,0.531395783901201,0.507576121959619,-0.034537444661584094,-0.010717782720002067,ml,0.034537444661584094
CNN1D,drop_algorithm,0.5030028680668202,0.04273785643653513,0.6037151702786377,0.014187540851256477,34,3,1582.5023666666666,0.531395783901201,0.507576121959619,-0.02839291583438086,-0.004573253892798834,algorithm,0.02839291583438086
CNN1D,drop_data,0.5060804868006951,0.033816212307791034,0.6130030959752322,0.005362386401142073,34,3,1730.0204666666666,0.531395783901201,0.507576121959619,-0.02531529710050595,-0.0014956351589239247,data,0.02531529710050595
CNN1D,drop_robot,0.5121149406139954,0.04807253843553056,0.5975232198142414,0.02681193200571021,34,3,491.26073333333335,0.531395783901201,0.507576121959619,-0.019280843287205585,0.004538818654376442,robot,0.019280843287205585
CNN1D,drop_innovation,0.5138811784455081,0.034837878239304836,0.5995872033023736,0.006444786376056151,34,3,383.27430000000004,0.531395783901201,0.507576121959619,-0.017514605455692944,0.006305056485889082,innovation,0.017514605455692944
